,Participant,Group,window,report,MW,MSD
0,11003,B,5,self,a,0.031059686908871367
1,11003,B,5,self,f,0.02698355730061791
2,11003,B,5,self,a,0.016721587405413116
3,11003,B,5,self,f,0.021495233150549586
4,11003,B,5,self,a,0.017582260802402206
5,11003,B,5,self,f,0.020682319187339242
6,11003,B,10,self,a,0.021942861072783947
7,11003,B,10,self,f,0.019886521116373304
8,11003,B,10,self,a,0.017021491291827825
9,11003,B,10,self,f,0.0345976822377627
10,11003,B,10,self,a,0.017267510202655576
11,11003,B,10,self,f,0.02173965258299675
12,11003,B,15,self,a,0.01638903590160616
13,11003,B,15,self,f,0.019305704932335008
14,11003,B,15,self,a,0.0175953329384247
15,11003,B,15,self,f,0.050580030389744596
16,11003,B,15,self,a,0.025609284612444994
17,11003,B,15,self,f,0.020176549698061458
18,11003,B,20,self,a,0.012291776926204619
19,11003,B,20,self,f,0.032148875555961964
20,11003,B,20,self,a,0.017712885565840275
21,11003,B,20,self,f,0.052433908671784685
22,11003,B,20,self,a,0.024938967421486918
23,11003,B,20,self,f,0.05951324780038777
24,11003,B,25,self,a,0.009833421540963696
25,11003,B,25,self,f,0.07793388674409986
26,11003,B,25,self,a,0.026971233987737066
27,11003,B,25,self,f,0.04748401839266421
28,11003,B,25,self,a,0.028378031859898723
29,11003,B,25,self,f,0.06536811114066325
30,11003,B,30,self,a,0.00819451795080308
31,11003,B,30,self,f,0.1058410693516207
32,11003,B,30,self,a,0.052915506058167944
33,11003,B,30,self,f,0.043794619829629615
34,11003,B,30,self,a,0.03231379524925039
35,11003,B,30,self,f,0.09125091069690935
36,13604,B,5,self,a,0.0085522461507184
37,13604,B,5,self,f,0.013862444246420953
38,13604,B,5,self,a,0.01814081727112647
39,13604,B,5,self,f,0.01925904580700401
40,13604,B,5,self,a,0.015016724842771577
41,13604,B,5,self,f,0.028936261987207595
42,13604,B,5,self,a,0.013440961326768142
43,13604,B,5,self,f,0.01298795718098264
44,13604,B,5,self,a,0.011959647878591127
45,13604,B,5,self,f,0.018192380991950127
46,13604,B,5,self,a,0.026729423763751137
47,13604,B,5,self,f,0.02216023906817325
48,13604,B,5,self,a,0.01910458490807616
49,13604,B,5,self,f,0.02043009665170149
50,13604,B,5,self,a,0.015723878687211403
51,13604,B,5,self,f,0.013139973928754852
52,13604,B,5,self,a,0.015840662350536657
53,13604,B,5,self,f,0.01691400161056825
54,13604,B,5,self,a,0.026177700832034544
55,13604,B,5,self,f,0.032943243654322184
56,13604,B,5,self,a,0.013854320689693358
57,13604,B,5,self,f,0.009838336395603544
58,13604,B,5,self,a,0.017616062545463683
59,13604,B,5,self,f,0.01241054233168737
60,13604,B,5,self,a,0.02797996839406812
61,13604,B,5,self,f,0.012818442317016085
62,13604,B,10,self,a,0.00985804105045094
63,13604,B,10,self,f,0.012871797591629628
64,13604,B,10,self,a,0.019492627222459983
65,13604,B,10,self,f,0.025166124174337792
66,13604,B,10,self,a,0.0389235767508404
67,13604,B,10,self,f,0.03105691857868613
68,13604,B,10,self,a,0.016789981809512102
69,13604,B,10,self,f,0.01585259192767003
70,13604,B,10,self,a,0.015034880861400576
71,13604,B,10,self,f,0.016686838843298947
72,13604,B,10,self,a,0.01925154156164632
73,13604,B,10,self,f,0.024962737578555366
74,13604,B,10,self,a,0.017547543445509663
75,13604,B,10,self,f,0.0247460046984187
76,13604,B,10,self,a,0.014834719458718256
77,13604,B,10,self,f,0.014181225398457202
78,13604,B,10,self,a,0.016780840458358686
79,13604,B,10,self,f,0.017122732969348055
80,13604,B,10,self,a,0.018711028343050495
81,13604,B,10,self,f,0.02649312769316815
82,13604,B,10,self,a,0.015312325153085258
83,13604,B,10,self,f,0.011285879032043377
84,13604,B,10,self,a,0.01309060479949567
85,13604,B,10,self,f,0.013690340350556855
86,13604,B,10,self,a,0.02203984280169414
87,13604,B,10,self,f,0.012687150961708254
88,13604,B,15,self,a,0.009790567055010671
89,13604,B,15,self,f,0.013650533693859462
90,13604,B,15,self,a,0.03085720937312851
91,13604,B,15,self,f,0.02475458780199747
92,13604,B,15,self,a,0.04509509941635852
93,13604,B,15,self,f,0.04085589934822055
94,13604,B,15,self,a,0.016874191538632715
95,13604,B,15,self,f,0.012973271675330179
96,13604,B,15,self,a,0.013112223793920715
97,13604,B,15,self,f,0.015399184571880466
98,13604,B,15,self,a,0.017180851415062818
99,13604,B,15,self,f,0.021308779237255902
100,13604,B,15,self,a,0.015843773353191946
101,13604,B,15,self,f,0.022110215830320454
102,13604,B,15,self,a,0.013589445282187047
103,13604,B,15,self,f,0.012116945030531243
104,13604,B,15,self,a,0.01666957055933747
105,13604,B,15,self,f,0.019435383913611784
106,13604,B,15,self,a,0.017251127092174356
107,13604,B,15,self,f,0.022194564683444086
108,13604,B,15,self,a,0.014096042714175654
109,13604,B,15,self,f,0.013638711700035834
110,13604,B,15,self,a,0.013574708514872368
111,13604,B,15,self,f,0.012670637180292224
